POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),mes,POS. FEV.
17º,CHEVROLET ONIX PLUS,4.921,"2,38%",1.994,"1,42%","146,79%",fev_2026,26º
18º,HYUNDAI HB20S,4.655,"2,26%",1.855,"1,32%","150,94%",fev_2026,28º
19º,NISSAN KAIT,4.462,"2,16%",1.294,"0,92%","244,82%",fev_2026,30º
20º,FIAT FASTBACK,4.444,"2,15%",3.833,"2,73%","15,94%",fev_2026,14º
21º,HONDA HR-V,3.995,"1,94%",2.948,"2,10%","35,52%",fev_2026,18º
22º,TOYOTA YARIS CROSS,3.864,"1,87%",593,"0,42%","551,60%",fev_2026,48º
23º,TOYOTA COROLLA CROSS,3.747,"1,82%",2.899,"2,06%","29,25%",fev_2026,19º
24º,HONDA WR-V,3.540,"1,72%",2.630,"1,87%","34,60%",fev_2026,22º
25º,VW VIRTUS,3.410,"1,65%",2.489,"1,77%","37,00%",fev_2026,23º
26º,JEEP RENEGADE,3.319,"1,61%",2.686,"1,91%","23,57%",fev_2026,21º
27º,GWM HAVAL H6,3.318,"1,61%",3.237,"2,30%","2,50%",fev_2026,16º
28º,NISSAN KICKS,3.028,"1,47%",2.875,"2,05%","5,32%",fev_2026,20º
29º,TOYOTA COROLLA,2.900,"1,41%",2.149,"1,53%","34,95%",fev_2026,25º
30º,CAOA CHERY TIGGO 7,2.665,"1,29%",2.205,"1,57%","20,86%",fev_2026,24º
31º,FIAT CRONOS,2.126,"1,03%",1.856,"1,32%","14,55%",fev_2026,27º
32º,BYD DOLPHIN,1.852,"0,90%",1.193,"0,85%","55,24%",fev_2026,31º
33º,CHEVROLET SPIN,1.658,"0,80%",1.024,"0,73%","61,91%",fev_2026,36º
34º,OMODA JAECOO OMODA 5,1.580,"0,77%",1.179,"0,84%","34,01%",fev_2026,32º
35º,RENAULT KARDIAN,1.389,"0,67%",1.122,"0,80%","23,80%",fev_2026,33º
36º,JEEP COMMANDER,1.355,"0,66%",1.371,"0,98%","-1,17%",fev_2026,29º
37º,CITROËN C3,1.334,"0,65%",779,"0,55%","71,25%",fev_2026,43º
38º,BYD KING,1.274,"0,62%",907,"0,65%","40,46%",fev_2026,41º
39º,RENAULT BOREAL,1.272,"0,62%",611,"0,43%","108,18%",fev_2026,47º
40º,GWM HAVAL H9,1.170,"0,57%",672,"0,48%","74,11%",fev_2026,45º
41º,HONDA CITY HATCH,1.161,"0,56%",873,"0,62%","32,99%",fev_2026,42º
42º,HONDA CITY,1.159,"0,56%",1.058,"0,75%","9,55%",fev_2026,34º
43º,GEELY EX2,1.157,"0,56%",193,"0,14%","499,48%",fev_2026,67º
44º,VW TAOS,1.143,"0,55%",1.022,"0,73%","11,84%",fev_2026,37º
45º,RENAULT DUSTER,1.125,"0,55%",951,"0,68%","18,30%",fev_2026,40º
46º,TOYOTA SW4,1.117,"0,54%",1.031,"0,73%","8,34%",fev_2026,35º
47º,CAOA CHERY TIGGO 8,1.090,"0,53%",973,"0,69%","12,02%",fev_2026,38º
48º,CITROËN BASALT,1.015,"0,49%",971,"0,69%","4,53%",fev_2026,39º
49º,FORD TERRITORY,995,"0,48%",682,"0,49%","45,89%",fev_2026,44º
50º,PEUGEOT 2008,972,"0,47%",551,"0,39%","76,41%",fev_2026,50º
...,...,...,...,...,...,...,fev_2026,...
,TOTAL AUTOS,206.375,"100,00%",140.537,"100,00%","46,85%",fev_2026,
